filepath,condition
./Sound files/M_46_KITCHEN11_stirring_liquid_in_glass_crop.wav,misophonic
./Sound files/M_79_ORALNASAL3_eating_and_slurping_crop.wav,misophonic
./Sound files/M_82_ORALNASAL6_bitecrunch15sec_crop.wav,misophonic
./Sound files/M_83_ORALNASAL7_gumchew15sec_crop.wav,misophonic
./Sound files/M_85_ORALNASAL9_lip_smacks_crop.wav,misophonic
./Sound files/M_88_ORALNASAL12_human_eating_peach_crop.wav,misophonic
./Sound files/M_90_ORALNASAL14_sipping_hot_liquid_crop.wav,misophonic
./Sound files/M_91_ORALNASAL15_slurp15sec_crop.wav,misophonic
./Sound files/M_94_ORALNASAL18_sniffle15sec_crop.wav,misophonic
./Sound files/M_96_ORALNASAL20_male_sniffles.wav,misophonic
./Sound files/N_6_ANIMALS2_bird15sec_crop.wav,neutral
./Sound files/N_7_ANIMALS3_crow15sec_crop.wav,neutral
./Sound files/N_13_ANIMALS9_frog15sec_crop.wav,neutral
./Sound files/N_30_HOUSEHOLD7_drawer_rolling_in_out_crop.wav,neutral
./Sound files/N_59_NATURE1_daytime_forrest_bonfire_crop.wav,neutral
./Sound files/N_60_NATURE2_branch_and_leaves.wav,neutral
./Sound files/N_61_NATURE3_crickets_with_distant_traffic_crop.wav,neutral
./Sound files/N_62_NATURE4_rain_heavy_loud_crop.wav,neutral
./Sound files/N_63_NATURE5_distant_thunder_crop.wav,neutral
./Sound files/N_84_ORALNASAL8_male_chuckling.wav,neutral
./Sound files/U_14_ANIMALS10_mouse_squeaking_crop.wav,unpleasant
./Sound files/U_17_BABIES3_babies_cry_crop.wav,unpleasant
./Sound files/U_22_FOOTSTEPS5_water_walk_series_crop.wav,unpleasant
./Sound files/U_23_FOOTSTEPS6_run_on_concrete_crop.wav,unpleasant
./Sound files/U_45_KITCHEN10_silverware_on_glass_toast_crop.wav,unpleasant
./Sound files/U_93_ORALNASAL17_male_sneezing_into_arm.wav,unpleasant
./Sound files/U_108_OUTDOORS7_jackhammer_close_crop.wav,unpleasant
./Sound files/U_Extra_1_ambulance_siren_crop.wav,unpleasant
./Sound files/U_Ward_25_2_nails_on_chalkboard_crop.wav,unpleasant
./Sound files/U_Ward_26_2_swinging_on_a_swingset_crop.wav,unpleasant
